Ticket_ID,Date_Logged,Customer_ID,Subject,Message_Body,Topic,Priority,Transaction_ID,Sentiment,topic,priority,sentiment,topic_lv,Nedēļa
T000047,2023-11-28,C0020,Tracking shows no updates,"My delivery is delayed.
Tracking shows in transit for days.
Please update me.
Also: courier.

—
Regards,
A very unhappy customer

Order number: 100363",Software/Connectivity,NORMAL,100363.0,Positive,Logistics,High,Negative,Loģistika,2023-11-27
T000048,2023-11-28,C0064,Battery problem with my lock,"My NordLock Pro battery drains in 48 hours.
I changed batteries and it still drains quickly.
I can't rely on this.

—
Regards,
A very unhappy customer

Order number: 100566",Battery Issue,NORMAL,100566.0,Positive,Battery,Critical,Negative,Baterija,2023-11-27
T000055,2023-11-28,C0026,Product defective,"The product is not working.
This should not happen.
Please help.

Sent from my iPhone

My order #100392.",Software/Connectivity,CRITICAL,100392.0,Positive,General,High,Negative,Vispārēji,2023-11-27
T000051,2023-11-28,C0125,Where is my order?,"My delivery is late.<br>Tracking shows pending.<br>This is taking too long.<br><br><p>Thanks</p><p>Customer</p>

My order #100325.",Logistics,NORMAL,100325.0,Positive,Logistics,Normal,Negative,Loģistika,2023-11-27
T000052,2023-11-28,C0030,Tracking shows no updates,"<p>My delivery is delayed.
Tracking shows pending.
This is taking too long.

Sent from my Android device</p>",Logistics,NORMAL,,Neutral,Logistics,Normal,Negative,Loģistika,2023-11-27
T000067,2023-11-29,C0137,Where is my order?,"My delivery is late.<br>Tracking shows in transit for days.<br>Where is my order?<br><br>Sent from my iPhone

Ref: TX-100484",Logistics,NORMAL,100484.0,Neutral,Logistics,High,Negative,Loģistika,2023-11-27
T000062,2023-11-29,C0085,Product defective,"<p>The product is defective.
Very disappointed.
Please help.
Also: doesn't work.

Sent from my Android device</p><br><p>Please help!</p>

My order #100721.",Software/Connectivity,CRITICAL,100721.0,Neutral,General,High,Negative,Vispārēji,2023-11-27
T000063,2023-11-29,C0004,NordLock Pro pairing issue,"The app will not connect to WiFi.
I tried resetting but it fails.
It worked once and then stopped.
Also: app won't connect.

—
Regards,
A very unhappy customer

My order #100459.",Software/Connectivity,NORMAL,100459.0,Neutral,Software,Critical,Negative,Programmatūra,2023-11-27
T000066,2023-11-29,C0065,Return request,"I want to get a refund for this product.
It is defective.
I need my money back.

Sent from my iPhone

My order #101197.",General Inquiry,HIGH,101197.0,Neutral,General,High,Negative,Vispārēji,2023-11-27
T000060,2023-11-29,C0039,I want a refund,"I want to get a refund for this product.
It is defective.
How do I start an RMA?

—
Regards,
A very unhappy customer",Software/Connectivity,HIGH,,Positive,Quality,High,Negative,Kvalitāte,2023-11-27
T000058,2023-11-29,C0038,App cannot connect to WiFi,"<p>The app cannot connect to the lock.
I tried reinstalling the app but it fails.
Please advise.

<p>Thanks</p><p>Customer</p></p>

My order #100350.",Software/Connectivity,NORMAL,100350.0,Neutral,Software,Normal,Neutral,Programmatūra,2023-11-27
T000065,2023-11-29,C0086,I want a refund,"I want to return this product.
It is defective.
How do I start an RMA?
Also: return.

Sent from my iPhone",General Inquiry,NORMAL,,Neutral,General,Normal,Negative,Vispārēji,2023-11-27
T000064,2023-11-29,C0191,Product defective,"<p>The product is broken.
Poor quality.
Please help.

—
Regards,
A very unhappy customer</p><br><p>Please help!</p>",Software/Connectivity,CRITICAL,,Neutral,General,High,Negative,Vispārēji,2023-11-27
T000068,2023-11-29,C0051,Return request,"<p>I want to return this product.
It is not as described.
How do I start an RMA?

—
Regards,
A very unhappy customer</p>

Ref: TX-100384",Software/Connectivity,NORMAL,100384.0,Positive,General,High,Negative,Vispārēji,2023-11-27
T000057,2023-11-29,C0118,Very disappointed,"The product is defective.
Poor quality.
I want a replacement.

Sent from my iPhone

My order #100914.",General Inquiry,NORMAL,100914.0,Neutral,General,High,Negative,Vispārēji,2023-11-27
T000059,2023-11-29,C0012,Not working as expected,"The product is not working.
Poor quality.
Please help.

Sent from my iPhone

Order number: 100306",General Inquiry,CRITICAL,100306.0,Positive,Quality,High,Negative,Kvalitāte,2023-11-27
T000061,2023-11-29,C0073,Return request,"<p>I want to get a refund for this product.
It is not as described.
Please send return instructions.

<p>Thanks</p><p>Customer</p></p>

My order #100381.",General Inquiry,HIGH,100381.0,Positive,General,High,Negative,Vispārēji,2023-11-27
T000072,2023-11-30,C0005,Not working as expected,"The product is defective.
Very disappointed.
What are my options?

Sent from my iPhone

Order number: 100453",Software/Connectivity,HIGH,100453.0,Neutral,General,Normal,Negative,Vispārēji,2023-11-27
T000073,2023-11-30,C0135,Not working as expected,"<p>The product is not working.
Poor quality.
I want a replacement.

<p>Thanks</p><p>Customer</p></p><br><p>Please help!</p>

My order #100696.",General Inquiry,CRITICAL,100696.0,Positive,General,Normal,Negative,Vispārēji,2023-11-27
T000071,2023-11-30,C0178,Where is my order?,"My delivery is delayed.
Tracking shows no updates.
This is taking too long.

—
Regards,
A very unhappy customer

Order number: 100986",Software/Connectivity,NORMAL,100986.0,Positive,Logistics,High,Negative,Loģistika,2023-11-27
T000069,2023-11-30,C0018,Not working as expected,"The product is defective.
This should not happen.
Please help.

Sent from my Android device

Ref: TX-100534",Software/Connectivity,CRITICAL,100534.0,Neutral,General,Normal,Negative,Vispārēji,2023-11-27
T000070,2023-11-30,C0249,Return request,"I want to get a refund for this product.
It is not as described.
Please send return instructions.

<p>Thanks</p><p>Customer</p>

Ref: TX-100219",General Inquiry,HIGH,100219.0,Positive,General,High,Negative,Vispārēji,2023-11-27
T000077,2023-12-01,C0191,Tracking shows no updates,"My delivery is stuck.<br>Tracking shows in transit for days.<br>Please update me.<br><br>—<br>Regards,<br>A very unhappy customer

Order number: 100311",Access/Lock Failure,CRITICAL,100311.0,Neutral,Logistics,High,Negative,Loģistika,2023-11-27
T000078,2023-12-01,C0054,Return request,"I want to get a refund for this product.<br>It is not as described.<br>I need my money back.<br>Also: money back.<br><br>Sent from my iPhone

My order #100607.",General Inquiry,HIGH,100607.0,Neutral,General,High,Negative,Vispārēji,2023-11-27
T000079,2023-12-01,C0015,Where is my order?,"My delivery is stuck.<br>Tracking shows pending.<br>Where is my order?<br><br>Sent from my Android device

My order #100509.",Access/Lock Failure,CRITICAL,100509.0,Negative,Logistics,Normal,Negative,Loģistika,2023-11-27
T000075,2023-12-01,C0037,Delivery delay,"My delivery is stuck.<br>Tracking shows in transit for days.<br>This is taking too long.<br>Also: still not received.<br><br>Sent from my Android device

Order number: 100504",Access/Lock Failure,CRITICAL,100504.0,Negative,Logistics,High,Negative,Loģistika,2023-11-27
T000074,2023-12-01,C0203,Where is my order?,"<p>My delivery is late.
Tracking shows no updates.
This is taking too long.

Sent from my Android device</p>

Order number: 100575",Logistics,NORMAL,100575.0,Neutral,Logistics,Normal,Negative,Loģistika,2023-11-27
T000076,2023-12-01,C0044,NordLock Pro pairing issue,"The app will not connect to WiFi.
I tried reinstalling the app but it fails.
It worked once and then stopped.
Also: bluetooth.

<br><br>--<br>NordTech Customer

My order #101028.",Software/Connectivity,NORMAL,101028.0,Negative,Software,High,Negative,Programmatūra,2023-11-27
T000080,2023-12-01,C0031,Product defective,"The product is broken.
This should not happen.
What are my options?
Also: broken.

Sent from my Android device",Software/Connectivity,HIGH,,Negative,General,Normal,Negative,Vispārēji,2023-11-27
T000081,2023-12-02,C0126,Very disappointed,"The product is broken.
Poor quality.
What are my options?

<br><br>--<br>NordTech Customer

Order number: 100239",General Inquiry,HIGH,100239.0,Negative,Quality,High,Negative,Kvalitāte,2023-11-27
T000083,2023-12-02,C0023,Tracking shows no updates,"<p>My delivery is late.
Tracking shows in transit for days.
This is taking too long.
Also: tracking.

Sent from my Android device</p>

My order #100571.",Logistics,NORMAL,100571.0,Neutral,Logistics,Normal,Negative,Loģistika,2023-11-27
T000084,2023-12-02,C0081,Delivery delay,"<p>My delivery is late.
Tracking shows in transit for days.
Please update me.
Also: where is my order.

—
Regards,
A very unhappy customer</p><br><p>This is unacceptable.</p>

My order #100162.",Software/Connectivity,NORMAL,100162.0,Positive,Logistics,High,Negative,Loģistika,2023-11-27
T000082,2023-12-02,C0103,Very disappointed,"The product is not working.<br>Poor quality.<br>What are my options?<br><br>—<br>Regards,<br>A very unhappy customer

Order number: 101103",Software/Connectivity,NORMAL,101103.0,Positive,Quality,High,Negative,Kvalitāte,2023-11-27
T000085,2023-12-02,C0191,Battery problem with my lock,"My smart lock battery drains in 2 days.
I tried new batteries and it still dies.
I can't rely on this.

<p>Thanks</p><p>Customer</p>

My order #100311.",Battery Issue,NORMAL,100311.0,Positive,Battery,Critical,Negative,Baterija,2023-11-27
T000086,2023-12-02,C0182,Delivery delay,"<p>My delivery is delayed.
Tracking shows in transit for days.
Please update me.
Also: still not received.

<p>Thanks</p><p>Customer</p></p><br><p>ASAP</p>",Logistics,CRITICAL,,Positive,Logistics,High,Negative,Loģistika,2023-11-27
T000095,2023-12-03,C0064,Return request,"I want to return this product.<br>It is defective.<br>How do I start an RMA?<br>Also: want a refund.<br><br>—<br>Regards,<br>A very unhappy customer

My order #100566.",Software/Connectivity,HIGH,100566.0,Positive,Logistics,High,Negative,Loģistika,2023-11-27
T000090,2023-12-03,C0035,Battery dies in 2 days,"My NordLock Pro battery drains in 48 hours.<br>I tried new batteries and it still dies.<br>Please help ASAP.<br>Also: battery drains.<br><br><br><br>--<br>NordTech Customer

My order #100918.",Battery Issue,CRITICAL,100918.0,Neutral,Battery,Critical,Negative,Baterija,2023-11-27
T000088,2023-12-03,C0022,Not working as expected,"The product is broken.
This should not happen.
Please help.

—
Regards,
A very unhappy customer

My order #100627.",Software/Connectivity,CRITICAL,100627.0,Neutral,General,High,Negative,Vispārēji,2023-11-27
T000092,2023-12-03,C0059,Battery problem with my lock,"<p>My NordLock Pro dies in 2 days.
I changed batteries and it still dies.
This is unacceptable.

<br><br>--<br>NordTech Customer</p>

Order number: 100686",General Inquiry,NORMAL,100686.0,Neutral,Battery,Critical,Negative,Baterija,2023-11-27
T000089,2023-12-03,C0030,Tracking shows no updates,"My delivery is delayed.<br>Tracking shows pending.<br>Where is my order?<br><br>Sent from my Android device

Order number: 100537",Logistics,NORMAL,100537.0,Neutral,Logistics,High,Negative,Loģistika,2023-11-27
T000094,2023-12-03,C0198,Delivery delay,"My delivery is late.
Tracking shows in transit for days.
Where is my order?

<br><br>--<br>NordTech Customer",Logistics,NORMAL,,Neutral,Logistics,High,Negative,Loģistika,2023-11-27
T000091,2023-12-03,C0224,Locked out of my home,"<p>I am locked out — the lock will not unlock.
The app shows not responding.
I need immediate assistance.
Also: can't unlock.

Sent from my Android device</p>

My order #101157.",Access/Lock Failure,NORMAL,101157.0,Neutral,Access Failure,High,Negative,Piekļuve,2023-11-27
T000096,2023-12-03,C0276,Where is my order?,"<p>My delivery is stuck.
Tracking shows no updates.
Please update me.
Also: delivery late.

Sent from my Android device</p>

My order #101147.",Access/Lock Failure,CRITICAL,101147.0,Negative,Logistics,High,Negative,Loģistika,2023-11-27
T000093,2023-12-03,C0048,Tracking shows no updates,"My delivery is late.<br>Tracking shows no updates.<br>Please update me.<br>Also: delivery late.<br><br>—<br>Regards,<br>A very unhappy customer",Software/Connectivity,NORMAL,,Positive,Logistics,High,Negative,Loģistika,2023-11-27
T000087,2023-12-03,C0057,Product defective,"The product is broken.<br>Poor quality.<br>What are my options?<br><br><br><br>--<br>NordTech Customer

My order #100506.",General Inquiry,HIGH,100506.0,Negative,General,High,Negative,Vispārēji,2023-11-27
T000097,2023-12-04,C0005,Return request,"I want to get a refund for this product.
It is not as described.
Please send return instructions.
Also: refund.

<p>Thanks</p><p>Customer</p>

My order #100643.",General Inquiry,HIGH,100643.0,Positive,General,High,Negative,Vispārēji,2023-12-04
T000098,2023-12-04,C0031,Delivery delay,"<p>My delivery is delayed.
Tracking shows no updates.
Please update me.

—
Regards,
A very unhappy customer</p><br><p>ASAP</p>

My order #100816.",Software/Connectivity,CRITICAL,100816.0,Positive,Logistics,High,Negative,Loģistika,2023-12-04
T000101,2023-12-04,C0073,Tracking shows no updates,"My delivery is stuck.
Tracking shows no updates.
This is taking too long.

Sent from my Android device",Access/Lock Failure,CRITICAL,,Negative,Logistics,Normal,Negative,Loģistika,2023-12-04
T000100,2023-12-04,C0028,Not working as expected,"The product is defective.<br>Poor quality.<br>I want a replacement.<br><br>Sent from my Android device

Ref: TX-100767",General Inquiry,NORMAL,100767.0,Neutral,General,High,Negative,Vispārēji,2023-12-04
T000099,2023-12-04,C0225,Not working as expected,"The product is not working.
This should not happen.
Please help.

Sent from my Android device",Software/Connectivity,CRITICAL,,Positive,General,Normal,Negative,Vispārēji,2023-12-04
T000102,2023-12-04,C0084,Return request,I want to return this product.<br>It is not working.<br>How do I start an RMA?<br><br><p>Thanks</p><p>Customer</p>,General Inquiry,NORMAL,,Positive,Logistics,High,Negative,Loģistika,2023-12-04
T000106,2023-12-05,C0047,NordLock Pro won't unlock,"I am locked out — the lock does not respond.
The app shows not responding.
I can't get into my house.
Also: locked out.

Sent from my Android device

Order number: 100859",Access/Lock Failure,NORMAL,100859.0,Neutral,General,Critical,Negative,Vispārēji,2023-12-04
T000107,2023-12-05,C0040,Battery dies in 2 days,"<p>My smart lock dies in a day.
I changed batteries and it still drains quickly.
Please help ASAP.

Sent from my iPhone</p>

My order #101158.",Battery Issue,CRITICAL,101158.0,Neutral,Battery,High,Negative,Baterija,2023-12-04
T000103,2023-12-05,C0037,Delivery delay,"<p>My delivery is stuck.
Tracking shows no updates.
Please update me.
Also: courier.

Sent from my Android device</p>",Access/Lock Failure,CRITICAL,,Negative,Logistics,High,Negative,Loģistika,2023-12-04
T000108,2023-12-05,C0223,Product defective,"The product is not working.
This should not happen.
What are my options?

Sent from my Android device

Order number: 100682",Software/Connectivity,NORMAL,100682.0,Positive,General,Normal,Negative,Vispārēji,2023-12-04
T000105,2023-12-05,C0042,Where is my order?,"<p>My delivery is late.
Tracking shows no updates.
This is taking too long.
Also: still not received.

Sent from my Android device</p>

Ref: TX-100512",Logistics,NORMAL,100512.0,Neutral,Logistics,High,Negative,Loģistika,2023-12-04
